game_id,week,posteam,defteam,qtr,down,play_type,epa,wpa,cpoe,success
2025_01_ARI_NO,1,ARI,NO,2.0,3.0,run,1.2559463963843882,0.021059483289718628,,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,no_play,0.30406186141772196,0.01634088158607483,,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,run,-0.24502955074422061,-0.008306443691253662,,0.0
2025_01_ARI_NO,1,ARI,NO,2.0,2.0,pass,0.8115901529672556,0.013132358425144375,37.92755603790283,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,,extra_point,0.05117156607063911,0.0021792105503042336,,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,,kickoff,1.0569252371788025,0.03717765212059021,,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,1.0,run,-0.23551023961044848,-0.005776524543762207,,0.0
2025_01_ARI_NO,1,NO,ARI,2.0,2.0,pass,0.42817174759693444,0.011844813823699951,21.140921115875244,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,3.0,no_play,-1.0331991447601467,-0.0383341908454895,,0.0
2025_01_ARI_NO,1,NO,ARI,2.0,3.0,pass,1.6671323948539793,0.08028852939605713,26.86253786087036,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,1.0,run,0.07699990761466324,0.008048295974731445,,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,2.0,pass,0.07051736500579864,-0.004816830158233643,16.58080220222473,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,3.0,run,0.9418589170090854,0.028816640377044678,,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,1.0,run,-0.41114226961508393,-0.013424396514892578,,0.0
2025_01_ARI_NO,1,NO,ARI,2.0,2.0,pass,-0.6348088380182162,-0.0228116512298584,,0.0
2025_01_ARI_NO,1,NO,ARI,2.0,3.0,pass,-0.7842218213585448,-0.03633695840835571,40.19842743873596,0.0
2025_01_ARI_NO,1,NO,ARI,2.0,4.0,field_goal,0.3459129667711687,0.013372272253036499,,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,,kickoff,0.3294616478960961,0.002087414264678955,,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,pass,-0.5453785345889628,-0.018038302659988403,-80.96739053726196,0.0
2025_01_ARI_NO,1,ARI,NO,2.0,2.0,pass,-0.6414293551351875,-0.022865325212478638,-82.27432370185852,0.0
2025_01_ARI_NO,1,ARI,NO,2.0,3.0,pass,1.7115939502837136,0.06060019135475159,21.703070402145386,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,run,1.1476235429872759,0.030554860830307007,,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,no_play,-0.8977346348692663,-0.03734847903251648,,0.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,pass,-0.7262678436236456,-0.01629546284675598,10.619783401489258,0.0
2025_01_ARI_NO,1,ARI,NO,2.0,2.0,pass,0.20419851515907794,-0.003998398780822754,22.335535287857056,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,3.0,pass,2.787676735490095,0.13979783654212952,30.74413537979126,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,no_play,0.6463670861558057,0.00040274858474731445,,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,run,0.11080166028114036,0.02580946683883667,,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,1.0,pass,0.11331955791683868,-0.00202178955078125,14.565819501876831,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,2.0,pass,1.7368997829034925,0.0688555513171405,13.64482045173645,1.0
2025_01_ARI_NO,1,ARI,NO,2.0,,extra_point,0.05117156607063911,0.0019960130902081374,,1.0
2025_01_ARI_NO,1,NO,ARI,2.0,,kickoff,-0.0129606673726812,0.006109058856964111,,0.0
2025_01_ARI_NO,1,NO,ARI,2.0,1.0,run,-0.5865553013281897,-0.04001009464263916,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,,kickoff,-0.7344436342827976,-0.008178532123565674,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,pass,-0.4674985324963927,-0.007166087627410889,13.957840204238892,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,pass,1.7285170201212168,0.03252130746841431,36.36571764945984,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,run,-0.573094779625535,-0.014933884143829346,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,pass,-0.5526588098146021,-0.0125352144241333,15.774202346801758,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,3.0,pass,-2.2271140972152352,-0.05299821496009827,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,4.0,punt,0.3497101180255413,0.05417338013648987,,1.0
2025_01_ARI_NO,1,ARI,NO,3.0,1.0,pass,-0.9764494327828288,-0.011680424213409424,10.860103368759155,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,2.0,run,4.398174302536063,0.0961446762084961,,1.0
2025_01_ARI_NO,1,ARI,NO,3.0,1.0,pass,-0.4812210095115006,-0.011912286281585693,-42.504024505615234,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,2.0,run,-0.7253247293410823,-0.023169755935668945,,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,3.0,pass,-1.191799800855717,-0.027260899543762207,12.970083951950073,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,4.0,field_goal,1.3413219386838882,0.050965458154678345,,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,,kickoff,0.10786566697061062,0.0,,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,pass,-0.6116714496165514,-0.017734244465827942,-78.60752940177917,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,pass,1.3023318767081946,0.03299388289451599,21.723276376724243,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,run,-0.29173455433920026,-0.007663846015930176,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,pass,-0.8640516663435847,-0.02383100986480713,-78.81082892417908,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,3.0,pass,2.0005824929103255,0.05287998914718628,39.006781578063965,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,no_play,-0.5477845252025872,-0.008348941802978516,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,pass,0.1961903963238001,-0.004008397459983826,10.816055536270142,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,pass,0.31604475202038884,0.029162585735321045,25.334584712982178,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,3.0,run,0.6727808467112482,0.002135723829269409,,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,pass,0.5291985752992332,0.04043126106262207,11.55937910079956,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,run,-1.0711324495496228,-0.0408456027507782,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,3.0,no_play,1.2536971367662773,0.031238526105880737,,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,pass,-0.4769427616847679,-0.00541377067565918,-42.5650954246521,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,run,-0.12729952996596694,-0.012487739324569702,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,3.0,pass,-1.6301855649921309,-0.06793548166751862,-33.605313301086426,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,4.0,field_goal,-3.6225573188735907,-0.055443450808525085,,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,1.0,run,0.3016947144642472,0.006020009517669678,,1.0
2025_01_ARI_NO,1,ARI,NO,3.0,2.0,pass,0.4360715295188129,0.02466040849685669,11.70734167098999,1.0
2025_01_ARI_NO,1,ARI,NO,3.0,1.0,pass,-0.39943757094442844,-0.0075688958168029785,10.43052077293396,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,2.0,run,-0.13792460947297513,0.013729751110076904,,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,3.0,pass,-2.309622149216011,-0.050656795501708984,,0.0
2025_01_ARI_NO,1,ARI,NO,3.0,4.0,punt,-0.7671152562834322,-0.0004923790693283081,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,run,-0.3662309139035642,0.003345862030982971,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,2.0,no_play,0.9130701133981347,0.022826015949249268,,1.0
2025_01_ARI_NO,1,NO,ARI,3.0,1.0,run,-0.5537550179287791,-0.020761638879776,,0.0
2025_01_ARI_NO,1,NO,ARI,3.0,,,0.0,0.0,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,2.0,pass,-0.8626667549833655,-0.020132750272750854,15.499621629714966,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,no_play,-0.6384786320850253,-0.005776405334472656,,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,3.0,pass,-0.7735809087753296,-0.032160915434360504,9.762430191040039,0.0
2025_01_ARI_NO,1,NO,ARI,4.0,4.0,punt,0.6052274093963206,0.010987617075443268,,1.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,no_play,-0.9065909774508327,0.0003930330276489258,,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,1.0,pass,-0.5858379006385803,-0.019374430179595947,-54.9447238445282,0.0
2025_01_ARI_NO,1,ARI,NO,4.0,2.0,run,-0.22203901433385909,-0.0061765313148498535,,0.0
